net,refdes,pin,side,x,y,value,part_number
+1.2V_EN1,PR0606,2,B,6713,2716,0_0402_SP,R0402_SHORT
+1.2V_EN1,PR0621,2,T,6716,2640,1/16W_0_1%_0402,R0402_15P748
+1.2V_EN1,PU0601,16,B,6793,2648,NB687BGQ-C669-Z_QFN16_3X3,NB687BGQ-C669-Z_QFN16_3X3
+1.2V_EN1,TB_TP274,1,B,6758,2698,,
+1.2V_PG,PR0605,2,B,6991,2729,1/20W_100K_5%_0201,R0201_11P811
+1.2V_PG,PU0601,12,B,6793,2569,NB687BGQ-C669-Z_QFN16_3X3,NB687BGQ-C669-Z_QFN16_3X3
+1.2V_PG,TB_TP258,1,B,6747,2569,,
-AOU_IFLG,R8111,2,T,2064,1885,1/20W_10K_5%_0201,R0201_11P811
-AOU_IFLG,TB_TP572,1,T,1156,1892,,
-AOU_IFLG,U6701,9,B,914,1729,SN1702001RTER_WQFN16_3X3,SN1702001RTER_WQFN16_3X3
-AOU_IFLG,UEC1,C6,T,1935,2041,NPCX997KAABX_VFBGA144,NPCX997KAABX_VFBGA_144P
-BATLOW,R1520,1,B,6000,2788,1/20W_100K_5%_0201,R0201_11P811
-BATLOW,R1541,1,T,1637,1766,1/20W_10K_5%_0201,R0201_11P811
-BATLOW,R8104,2,T,1613,1766,1/20W_100K_5%_0201,R0201_11P811
-BATLOW,TB_TP711,1,T,3673,1429,,
-BATLOW,UCPU1,EM56,B,5709,2970,ALDERLAKE-P-CPU_BGA1744,ALDERLAKE-P-CPU_BGA_1744P-T
-BATLOW,UEC1,L10,T,1731,1938,NPCX997KAABX_VFBGA144,NPCX997KAABX_VFBGA_144P
-BEEP_ENABLE,Q8701,1,T,1549,1743,LSK3541G1ET2L_VMT3,LSK3541G1ET2L_VMT3
-BEEP_ENABLE,R8009,1,T,1607,1980,1/20W_100K_5%_0201,R0201_11P811
-BEEP_ENABLE,TB_TP1061,1,T,1523,1803,,
-BEEP_ENABLE,UEC1,L6,T,1731,2041,NPCX997KAABX_VFBGA144,NPCX997KAABX_VFBGA_144P
-BT_INT,R8053,1,T,2382,2427,0_0201_SP,R0201_SHORT
-BT_INT,TB_TP1418,1,T,2420,2425,,
-BT_INT,UWLAN1,64,B,5949,4784,INTEL_AX211D2W_LGA144,INTEL_AX211D2W_LGA_144P-T
-BT_INT,UWLAN2A,64,B,5955,4783,8501-602200-01_LGA76,8501-602200-01_LGA_76P
-BT_INT_R,R8053,2,T,2359,2427,0_0201_SP,R0201_SHORT
-BT_INT_R,R8054,2,T,2335,2427,1/20W_100K_5%_0201,R0201_11P811
-BT_INT_R,UEC1,B5,T,1961,2066,NPCX997KAABX_VFBGA144,NPCX997KAABX_VFBGA_144P
-CAM_PRIVACY,JCAM1,10,B,8343,4955,I-PEX_20654-030E-01,I-PEX_20654-030E-01_30P
-CAM_PRIVACY,R0523,1,T,6047,3249,1/20W_100K_5%_0201,R0201_11P811
-CAM_PRIVACY,TB_TP38,1,T,6006,3260,,
-CAM_PRIVACY,TB_TP39,1,B,6483,4851,,
-CAM_PRIVACY,UCPU1,EY37,B,5828,3260,ALDERLAKE-P-CPU_BGA1744,ALDERLAKE-P-CPU_BGA_1744P-T
-CATERR,R0802,1,T,4337,3659,1/20W_1K_5%_0201,R0201_11P811
-CATERR,TP0801,1,T,4373,3659,Test_Point_16MIL,TPC16
-CATERR,UCPU1,AF15,B,4352,3614,ALDERLAKE-P-CPU_BGA1744,ALDERLAKE-P-CPU_BGA_1744P-T
-CHG_PROCHOT,PR0226,2,B,3225,1288,1/16W_0_5%_0402,R0402_15P748
-CHG_PROCHOT,R7918,1,T,2345,2192,1/20W_0_5%_0201,R0201_11P811
-CHG_PROCHOT,TB_TP544,1,B,3292,1337,,
-CHG_PROCHOT_R,R7918,2,T,2345,2169,1/20W_0_5%_0201,R0201_11P811
-CHG_PROCHOT_R,U7901,15,T,2317,2105,NCT5635Y-W_QFN24_4X4,NCT5635Y-W_QFN24_4X4
-CLKREQ0_PCIE4_A,D7002,1,T,1631,1296,CDZCGT2RA6P8B_VMN2-2,CDZCGT2RA6P8B_VMN2-2-Y_CS20
-CLKREQ0_PCIE4_A,JSSD1,52,B,1713,1450,ARGOSY_NASM0-S6710-TS20,ARGOSY_NASM0-S6710-TS20_67P-T
-CLKREQ0_PCIE4_A,R7002,1,T,1700,1367,1/20W_10K_5%_0201,R0201_11P811
-CLKREQ0_PCIE4_A,TB_TP635,1,T,1687,1407,,
-CLKREQ0_PCIE4_A,UCPU1,FB29,B,5865,3383,ALDERLAKE-P-CPU_BGA1744,ALDERLAKE-P-CPU_BGA_1744P-T
-CLKREQ1_PCIE3_P5,R7203,1,B,6296,4340,1/16W_10K_5%_0402,R0402_15P748
-CLKREQ1_PCIE3_P5,TB_TP1298,1,T,5932,3258,,
-CLKREQ1_PCIE3_P5,UCPU1,FB36,B,5865,3285,ALDERLAKE-P-CPU_BGA1744,ALDERLAKE-P-CPU_BGA_1744P-T
-CLKREQ1_PCIE3_P5,UWLAN1,30,B,6343,4449,INTEL_AX211D2W_LGA144,INTEL_AX211D2W_LGA_144P-T
-CLKREQ1_PCIE3_P5,UWLAN2A,30,B,6343,4455,8501-602200-01_LGA76,8501-602200-01_LGA_76P
-CLKREQ2_PCIE3_P1,D7408,1,T,2751,3482,CDZCGT2RA6P8B_VMN2-2,CDZCGT2RA6P8B_VMN2-2-Y_CS20
-CLKREQ2_PCIE3_P1,JWWAN1,52,B,2756,3471,ARGOSY_NASB0-S6710-TS20,ARGOSY_NASB0-S6710-TS20_75P-T
-CLKREQ2_PCIE3_P1,R7403,1,T,2749,3531,1/20W_10K_5%_0201,R0201_11P811
-CLKREQ2_PCIE3_P1,TB_TP1384,1,T,3853,980,,
-CLKREQ2_PCIE3_P1,UCPU1,FC31,B,5883,3362,ALDERLAKE-P-CPU_BGA1744,ALDERLAKE-P-CPU_BGA_1744P-T
-CLKREQ3_PCI4_B,Q3201,1,B,6706,3450,SSM3K15AMFV_2-1L1B,SSM3K15AMFV_2-1L1B
-CLKREQ3_PCI4_B,R1405,1,B,6075,3335,1/20W_10K_5%_0201,R0201_11P811
-CLKREQ3_PCI4_B,TB_TP978,1,T,6115,3372,,
-CLKREQ3_PCI4_B,UCPU1,FC34,B,5883,3309,ALDERLAKE-P-CPU_BGA1744,ALDERLAKE-P-CPU_BGA_1744P-T
-CLKREQ4_PCIE3_P7,R7601,1,T,2276,4301,1/20W_10K_5%_0201,R0201_11P811
-CLKREQ4_PCIE3_P7,TB_TP683,1,T,2380,4291,,
-CLKREQ4_PCIE3_P7,U7601,48,T,2214,4283,WGI219LM-QREF-A0_QFN48_6X6,WGI219LM-QREF-A0_QFN48_6X6
-CLKREQ4_PCIE3_P7,UCPU1,ER48,B,5749,3086,ALDERLAKE-P-CPU_BGA1744,ALDERLAKE-P-CPU_BGA_1744P-T
-CLKREQ_PCIE3_VGA,Q3201,3,B,6752,3434,SSM3K15AMFV_2-1L1B,SSM3K15AMFV_2-1L1B
-CLKREQ_PCIE3_VGA,R3204,2,B,6785,3470,1/20W_10K_5%_0201,R0201_11P811
-CLKREQ_PCIE3_VGA,TB_TP971,1,B,6790,3440,,
-CLKREQ_PCIE3_VGA,UGPU1,AG31,B,6909,3514,NVIDIA_GN20-S5-GB3-64_FCBGA771,NVIDIA_GN20-S5-GB3-64_FCBGA_771P-T
-CL_RST_WLAN,R7224,1,B,6039,4367,1/20W_0_5%_0201,R0201_11P811
-CL_RST_WLAN,TB_TP1268,1,T,5741,4439,,
-CL_RST_WLAN,UCPU1,EH26,B,5647,3441,ALDERLAKE-P-CPU_BGA1744,ALDERLAKE-P-CPU_BGA_1744P-T
-CL_RST_WLAN_R,R7224,2,B,6062,4367,1/20W_0_5%_0201,R0201_11P811
-CL_RST_WLAN_R,UWLAN1,44,B,6067,4449,INTEL_AX211D2W_LGA144,INTEL_AX211D2W_LGA_144P-T
-CL_RST_WLAN_R,UWLAN2A,44,B,6067,4455,8501-602200-01_LGA76,8501-602200-01_LGA_76P
-CNV_RF_RESET,R1302,1,T,5750,3325,1/20W_75K_5%_0201,R0201_11P811
-CNV_RF_RESET,TB_TP903,1,T,5940,4410,,
-CNV_RF_RESET,UCPU1,ET31,B,5775,3362,ALDERLAKE-P-CPU_BGA1744,ALDERLAKE-P-CPU_BGA_1744P-T
-CNV_RF_RESET,UWLAN1,A42,B,6018,4705,INTEL_AX211D2W_LGA144,INTEL_AX211D2W_LGA_144P-T
-CPU_C10_GATE,R1539,2,T,5865,3079,1/20W_100K_5%_0201,R0201_11P811
-CPU_C10_GATE,TB_TP410,1,T,5771,3087,,
-CPU_C10_GATE,UCPU1,ER46,B,5749,3125,ALDERLAKE-P-CPU_BGA1744,ALDERLAKE-P-CPU_BGA_1744P-T
-CS_LOWEST,R0924,1,B,6011,3422,1/20W_100K_5%_0201,R0201_11P811
-CS_LOWEST,UCPU1,FA28,B,5853,3407,ALDERLAKE-P-CPU_BGA1744,ALDERLAKE-P-CPU_BGA_1744P-T
-DISCRETE_PRESENCE,R0521,1,T,6113,3469,1/20W_100K_5%_0201,R0201_11P811
-DISCRETE_PRESENCE,R99237,1,T,5831,3350,1/20W_100K_5%_0201,R0201_11P811
-DISCRETE_PRESENCE,TB_TP925,1,T,6016,3437,,
-DISCRETE_PRESENCE,UCPU1,EL26,B,5698,3441,ALDERLAKE-P-CPU_BGA1744,ALDERLAKE-P-CPU_BGA_1744P-T
-DRAMRST,JDDR1,108,B,5035,1827,ARGOS_D4ASL-26010-1P40,ARGOS_D4ASL-26010-1P40_260P
-DRAMRST,R0611,2,T,6463,2348,0_0201_SP,R0201_SHORT
-DRAMRST,TB_TP798,1,T,6432,2309,,
-DRAMRST,U2501,P1,T,5542,1206,K4A8G165WB-BCPB_FBGA96,K4ABG165WA-MCTD_FBGA_96P-T_3SILK
-DRAMRST,U2601,P1,T,6227,1206,K4A8G165WB-BCPB_FBGA96,K4ABG165WA-MCTD_FBGA_96P-T_3SILK
-DRAMRST,U2701,P1,T,4857,1206,K4A8G165WB-BCPB_FBGA96,K4ABG165WA-MCTD_FBGA_96P-T_3SILK
-DRAMRST,U2801,P1,T,4172,1206,K4A8G165WB-BCPB_FBGA96,K4ABG165WA-MCTD_FBGA_96P-T_3SILK
-DRAMRST_R,R0610,1,T,6440,2372,1/20W_470_1%_0201,R0201_11P811
-DRAMRST_R,R0611,1,T,6440,2348,0_0201_SP,R0201_SHORT
-DRAMRST_R,TB_TP29,1,T,6440,2414,,
-DRAMRST_R,UCPU1,EE53,B,5595,3007,ALDERLAKE-P-CPU_BGA1744,ALDERLAKE-P-CPU_BGA_1744P-T
-EAR_STRAP,R0811,1,T,4355,3455,1/20W_1K_5%_0201,R0201_11P811
-EAR_STRAP,R2109,2,T,4317,3505,1/20W_0_5%_0201,R0201_11P811
-EAR_STRAP,TB_TP655,1,T,4338,3416,,
-EAR_STRAP,UCPU1,AF25,B,4360,3456,ALDERLAKE-P-CPU_BGA1744,ALDERLAKE-P-CPU_BGA_1744P-T
-ECSPI_SS,R5011,2,T,2944,2028,1/20W_33_5%_0201,R0201_11P811
-ECSPI_SS,TB_TP541,1,T,1903,1834,,
-ECSPI_SS,UEC1,E12,T,1884,1887,NPCX997KAABX_VFBGA144,NPCX997KAABX_VFBGA_144P
-ECSPI_SS_R,R5008,2,T,2967,2050,1/20W_100K_5%_0201,R0201_11P811
-ECSPI_SS_R,R5011,1,T,2967,2028,1/20W_33_5%_0201,R0201_11P811
-ECSPI_SS_R,UTE1,4,T,3035,2019,TC62D518FTG_WQFN56_7X7,TC62D518FTG_WQFN56_7X7
-EC_BEEP_OVERRIDE,R8310,1,T,1291,893,1/20W_0_5%_0201,R0201_11P811-Y_CS20
-EC_BEEP_OVERRIDE,R8313,1,T,1271,893,1/20W_0_5%_0201,R0201_11P811-Y_CS20
-EC_BEEP_OVERRIDE,UEC1,C5,T,1935,2066,NPCX997KAABX_VFBGA144,NPCX997KAABX_VFBGA_144P
-EC_BEEP_OVERRIDE_R,R8310,2,T,1314,893,1/20W_0_5%_0201,R0201_11P811-Y_CS20
-EC_BEEP_OVERRIDE_R,R8312,1,T,1314,872,1/20W_10K_5%_0201,R0201_11P811-Y_CS20
-EC_BEEP_OVERRIDE_R,U8301,47,T,1134,869,ALC3287-CG_MQFN48_6X6,ALC3287-CG_MQFN48_6X6
-EC_RESET,R8110,2,T,1784,1616,1/20W_10K_5%_0201,R0201_11P811
-EC_RESET,TB_TP609,1,T,2735,2119,,
-EC_RESET,UEC1,G8,T,1833,1989,NPCX997KAABX_VFBGA144,NPCX997KAABX_VFBGA_144P
-EC_RESET,UTE1,8,T,3035,1956,TC62D518FTG_WQFN56_7X7,TC62D518FTG_WQFN56_7X7
-EC_SHD_CS0,R2201,1,B,2796,4189,1/20W_4.7K_5%_0201,R0201_11P811
-EC_SHD_CS0,U2203,1,B,2719,4140,W25R256JVEIN_WSON8_8X6,W25R256JVEIN_WSON8_8X6
-EC_SHD_CS0,UEC1,G10,T,1833,1938,NPCX997KAABX_VFBGA144,NPCX997KAABX_VFBGA_144P
-EC_SHD_CS1,R8020,2,B,3066,4111,1/20W_10K_5%_0201,R0201_11P811
-EC_SHD_CS1,TB_TP774,1,T,2696,3258,,
-EC_SHD_CS1,U8001,1,B,3208,4047,W25Q256JVEIN_WSON8_8X6,W25Q256JVEIN_WSON8_8X6
-EC_SHD_CS1,UEC1,B11,T,1961,1913,NPCX997KAABX_VFBGA144,NPCX997KAABX_VFBGA_144P
-ESPI_CS,TB_TP571,1,T,2587,2153,,
-ESPI_CS,UCPU1,DP44,B,5419,3153,ALDERLAKE-P-CPU_BGA1744,ALDERLAKE-P-CPU_BGA_1744P-T
-ESPI_CS,UEC1,B2,T,1961,2143,NPCX997KAABX_VFBGA144,NPCX997KAABX_VFBGA_144P
-ESPI_RESET,R0942,2,T,5214,2435,1/20W_75K_5%_0201,R0201_11P811
-ESPI_RESET,TB_TP503,1,T,2769,2193,,
-ESPI_RESET,UCPU1,DT51,B,5453,3051,ALDERLAKE-P-CPU_BGA1744,ALDERLAKE-P-CPU_BGA_1744P-T
-ESPI_RESET,UEC1,B1,T,1961,2169,NPCX997KAABX_VFBGA144,NPCX997KAABX_VFBGA_144P
-EXTPWR,D8203,1,T,1725,1671,RB521CM-30T2R_VMN2M-2,RB521CM-30T2R_VMN2M-2
-EXTPWR,PR0224,1,B,3288,1174,0_0402_SP,R0402_SHORT
-EXTPWR,Q5001,2,T,3126,1647,LSK3541G1ET2L_VMT3,LSK3541G1ET2L_VMT3
-EXTPWR,TB_TP907,1,T,3481,1424,,
-EXTPWR,TP5001,1,T,3202,1639,Test_Point_16MIL,TPC16
-EXTPWR_ASIC,Q5001,3,T,3110,1693,LSK3541G1ET2L_VMT3,LSK3541G1ET2L_VMT3
-EXTPWR_ASIC,R5001,2,T,3125,1752,1/20W_47K_5%_0201,R0201_11P811
-EXTPWR_ASIC,TB_TP1278,1,T,3170,1670,,
-EXTPWR_ASIC,UTE1,22,T,3176,1831,TC62D518FTG_WQFN56_7X7,TC62D518FTG_WQFN56_7X7
-EXTPWR_EC,D8203,2,T,1725,1709,RB521CM-30T2R_VMN2M-2,RB521CM-30T2R_VMN2M-2
-EXTPWR_EC,R8227,2,T,1762,1695,1/20W_100K_5%_0201,R0201_11P811
-EXTPWR_EC,UEC1,K11,T,1756,1913,NPCX997KAABX_VFBGA144,NPCX997KAABX_VFBGA_144P
-FBA_CLK0,UGPU1,F9,B,7526,4102,NVIDIA_GN20-S5-GB3-64_FCBGA771,NVIDIA_GN20-S5-GB3-64_FCBGA_771P-T
-FBA_CLK0,UV1,K10,B,8401,4302,K4Z80325BC-HC14_FBGA180,K4Z80325BC-HC14_FBGA_180P-T
-FBA_CLK1,TB_TP1178,1,T,7154,4144,,
-FBA_CLK1,UGPU1,E23,B,7140,4130,NVIDIA_GN20-S5-GB3-64_FCBGA771,NVIDIA_GN20-S5-GB3-64_FCBGA_771P-T
-FBA_CLK1,UV2,K10,B,7621,4936,K4Z80325BC-HC14_FBGA180,K4Z80325BC-HC14_FBGA_180P-T
-FBA_WCK01,TB_TP1399,1,T,7622,4171,,
-FBA_WCK01,UGPU1,C5,B,7636,4185,NVIDIA_GN20-S5-GB3-64_FCBGA771,NVIDIA_GN20-S5-GB3-64_FCBGA_771P-T
-FBA_WCK01,UV1,R5,B,8549,4449,K4Z80325BC-HC14_FBGA180,K4Z80325BC-HC14_FBGA_180P-T
-FBA_WCK23,TB_TP391,1,T,7593,4254,,
-FBA_WCK23,UGPU1,A6,B,7608,4240,NVIDIA_GN20-S5-GB3-64_FCBGA771,NVIDIA_GN20-S5-GB3-64_FCBGA_771P-T
-FBA_WCK23,UV1,R10,B,8549,4302,K4Z80325BC-HC14_FBGA180,K4Z80325BC-HC14_FBGA_180P-T
-FBA_WCK45,UGPU1,C27,B,7030,4185,NVIDIA_GN20-S5-GB3-64_FCBGA771,NVIDIA_GN20-S5-GB3-64_FCBGA_771P-T
-FBA_WCK45,UV2,R10,B,7621,5084,K4Z80325BC-HC14_FBGA180,K4Z80325BC-HC14_FBGA_180P-T
-FBA_WCK67,TB_TP1410,1,T,7071,4226,,
-FBA_WCK67,UGPU1,B26,B,7057,4213,NVIDIA_GN20-S5-GB3-64_FCBGA771,NVIDIA_GN20-S5-GB3-64_FCBGA_771P-T
-FBA_WCK67,UV2,R5,B,7473,5084,K4Z80325BC-HC14_FBGA180,K4Z80325BC-HC14_FBGA_180P-T
-FBA_WCKB01,UGPU1,M6,B,7618,3927,NVIDIA_GN20-S5-GB3-64_FCBGA771,NVIDIA_GN20-S5-GB3-64_FCBGA_771P-T
-FBA_WCKB01,UV1,D5,B,8224,4449,K4Z80325BC-HC14_FBGA180,K4Z80325BC-HC14_FBGA_180P-T
-FBA_WCKB23,UGPU1,L2,B,7728,3955,NVIDIA_GN20-S5-GB3-64_FCBGA771,NVIDIA_GN20-S5-GB3-64_FCBGA_771P-T
-FBA_WCKB23,UV1,D10,B,8224,4302,K4Z80325BC-HC14_FBGA180,K4Z80325BC-HC14_FBGA_180P-T
-FBA_WCKB45,UGPU1,M26,B,7047,3927,NVIDIA_GN20-S5-GB3-64_FCBGA771,NVIDIA_GN20-S5-GB3-64_FCBGA_771P-T
-FBA_WCKB45,UV2,D10,B,7621,4759,K4Z80325BC-HC14_FBGA180,K4Z80325BC-HC14_FBGA_180P-T
-FBA_WCKB67,UGPU1,L30,B,6937,3955,NVIDIA_GN20-S5-GB3-64_FCBGA771,NVIDIA_GN20-S5-GB3-64_FCBGA_771P-T
-FBA_WCKB67,UV2,D5,B,7473,4759,K4Z80325BC-HC14_FBGA180,K4Z80325BC-HC14_FBGA_180P-T
-FULL_CARD_POWER_OFF,JWWAN1,6,B,3209,3471,ARGOSY_NASB0-S6710-TS20,ARGOSY_NASB0-S6710-TS20_75P-T
-FULL_CARD_POWER_OFF,R7402,1,T,3170,3470,1/20W_100K_5%_0201,R0201_11P811
-FULL_CARD_POWER_OFF,R7416,2,T,3195,3470,1/20W_33K_5%_0201,R0201_11P811
-FULL_CARD_POWER_OFF,TP7401,1,T,3133,3470,Test_Point_16MIL,TPC16
-FULL_CARD_POWER_OFF,UCPU1,EN36,B,5724,3283,ALDERLAKE-P-CPU_BGA1744,ALDERLAKE-P-CPU_BGA_1744P-T
-GPIO_EXPANDER_INT,R7909,1,T,2070,1997,1/16W_4.7K_5%_0402,R0402_15P748
-GPIO_EXPANDER_INT,U7901,22,T,2217,2004,NCT5635Y-W_QFN24_4X4,NCT5635Y-W_QFN24_4X4
-GPIO_EXPANDER_INT,UEC1,A10,T,1987,1938,NPCX997KAABX_VFBGA144,NPCX997KAABX_VFBGA_144P
-GPU_EVENT,D3501,1,B,7993,3503,RB521CM-30T2R_VMN2M,RB521CS-30GT2RA_VMN2-2
-GPU_EVENT,TB_TP887,1,B,6600,3242,,
-GPU_EVENT,UCPU1,EY48,B,5839,3086,ALDERLAKE-P-CPU_BGA1744,ALDERLAKE-P-CPU_BGA_1744P-T
-GPU_EVENT_D,D3501,2,B,7993,3541,RB521CM-30T2R_VMN2M,RB521CS-30GT2RA_VMN2-2
-GPU_EVENT_D,R3507,2,B,7911,3539,1/20W_10K_5%_0201,R0201_11P811
-GPU_EVENT_D,TB_TP103,1,B,7883,3546,,
-GPU_EVENT_D,UGPU1,AC3,B,7701,3624,NVIDIA_GN20-S5-GB3-64_FCBGA771,NVIDIA_GN20-S5-GB3-64_FCBGA_771P-T
-GPU_GPIO26,R3525,1,T,7877,3570,1/20W_0_5%_0201,R0201_11P811
-GPU_GPIO26,R3526,1,T,7877,3593,1/20W_0_5%_0201,R0201_11P811
-GPU_GPIO26,TB_TP175,1,T,7827,3564,,
-GPU_GPIO26,UGPU1,AF6,B,7618,3532,NVIDIA_GN20-S5-GB3-64_FCBGA771,NVIDIA_GN20-S5-GB3-64_FCBGA_771P-T
-GPU_RST,C0501,1,T,5875,3406,10PC_25VC_JC_NPOC_0201,C0201_12P992_BA
-GPU_RST,D3202,1,T,6866,3411,RB521CM-30T2R_VMN2M-2,RB521CM-30T2R_VMN2M-2
-GPU_RST,R0517,1,T,5851,3406,1/20W_1M_1%_0201,R0201_11P811
-GPU_RST,TB_TP1059,1,T,6822,3361,,
-GPU_RST,UCPU1,ER23,B,5749,3480,ALDERLAKE-P-CPU_BGA1744,ALDERLAKE-P-CPU_BGA_1744P-T
-HOTKEY,C4502,2,T,2665,3027,0.01U_6.3V_K_X7R_0201,C0201_12P992_BA
-HOTKEY,C8005,1,T,1770,1802,0.1U_10V_K_X5R_0201,C0201_12P992_BA
-HOTKEY,JKBL2,29,T,2544,2923,HIGHS_FC5AF361-1151H,HIGHS_FC5AF361-1151H_36P-T
-HOTKEY,R8035,1,T,1767,1738,1/20W_20K_5%_0201,R0201_11P811
-HOTKEY,TB_TP517,1,T,2318,2302,,
-HOTKEY,UEC1,J11,T,1782,1913,NPCX997KAABX_VFBGA144,NPCX997KAABX_VFBGA_144P
-HPD_DTCT,TP0501,1,T,6177,3087,Test_Point_16MIL,TPC16
-HPD_DTCT,UCPU1,EB49,B,5553,3076,ALDERLAKE-P-CPU_BGA1744,ALDERLAKE-P-CPU_BGA_1744P-T
-I2C3_INT_PD,R5909,1,T,1374,3710,1/20W_10K_5%_0201,R0201_11P811
-I2C3_INT_PD,TP5904,1,B,788,4043,Test_Point_16MIL,TPC16
-I2C3_INT_PD,U5901,47,T,1437,3702,SN2011061RSLR_VQFN48_6X6,SN2011061RSLR_VQFN48_6X6
-I2C3_INT_PD,UBB1,A10,B,801,3232,JHL8040RSLMN7A1_BGA105,JHL8040RSLMN7A1_BGA_105P
-I2C3_INT_PD,UBB2,A10,B,801,3905,JHL8040RSLMN7A1_BGA105,JHL8040RSLMN7A1_BGA_105P
-INTRUDER,D1503,1,B,6201,3248,RB520CM-30T2R_VMN2M2,RB520CM-30T2R_VMN2M2
-INTRUDER,R1514,2,B,6201,3278,0_0201_SP,R0201_SHORT
-INTRUDER,R1515,2,B,6201,3302,1/20W_1M_5%_0201,R0201_11P811
-INTRUDER,TB_TP425,1,B,6018,3279,,
-INTRUDER,UCPU1,DY44,B,5520,3153,ALDERLAKE-P-CPU_BGA1744,ALDERLAKE-P-CPU_BGA_1744P-T
-INTRUDER_EC,D1503,2,B,6238,3248,RB520CM-30T2R_VMN2M2,RB520CM-30T2R_VMN2M2
-INTRUDER_EC,R8221,2,T,1745,1802,1/20W_100K_5%_0201,R0201_11P811
-INTRUDER_EC,TB_TP91,1,B,6303,3282,,
-INTRUDER_EC,UEC1,K12,T,1756,1887,NPCX997KAABX_VFBGA144,NPCX997KAABX_VFBGA_144P
-INT_MIC_DTCT,D9503,1,B,8565,4895,PESD5V0H1BSF_SOD962-2,PESD5V0H1BSF_SOD962-2
-INT_MIC_DTCT,JCAM1,21,B,8516,4955,I-PEX_20654-030E-01,I-PEX_20654-030E-01_30P
-INT_MIC_DTCT,TB_TP1355,1,B,8916,4603,,
-INT_MIC_DTCT,UCPU1,EB46,B,5553,3127,ALDERLAKE-P-CPU_BGA1744,ALDERLAKE-P-CPU_BGA_1744P-T
-IR_CAM_DTCT,JCAM1,22,B,8532,4955,I-PEX_20654-030E-01,I-PEX_20654-030E-01_30P
-IR_CAM_DTCT,TB_TP1056,1,B,7841,1705,,
-IR_CAM_DTCT,TB_TP1057,1,T,8545,4899,,
-IR_CAM_DTCT,UCPU1,DY54,B,5520,2999,ALDERLAKE-P-CPU_BGA1744,ALDERLAKE-P-CPU_BGA_1744P-T
-ISH_ACCEL2_INT,R1005,1,T,6047,3305,1/20W_10K_5%_0201,R0201_11P811
-ISH_ACCEL2_INT,TB_TP112,1,B,5978,3337,,
-ISH_ACCEL2_INT,U4901,5,T,6471,2785,LIS2DWLTR_LGA12_2X2,LIS2DWLTR_LGA12_2X2
-ISH_ACCEL2_INT,UCPU1,EY31,B,5828,3358,ALDERLAKE-P-CPU_BGA1744,ALDERLAKE-P-CPU_BGA_1744P-T
-ISH_AI_INT,TP1012,1,T,6086,3281,Test_Point_16MIL,TPC16
-ISH_AI_INT,UCPU1,EV31,B,5802,3357,ALDERLAKE-P-CPU_BGA1744,ALDERLAKE-P-CPU_BGA_1744P-T
-KBD_BL_DTCT,JTP2,13,T,3503,2846,HIGHSTAR_FC1AF141-2133-1H,HIGHSTAR_FC1AF141-2133-1H_14P-T
-KBD_BL_DTCT,R8008,1,T,1980,2239,1/20W_100K_5%_0201,R0201_11P811
-KBD_BL_DTCT,TB_TP488,1,T,1759,2492,,
-KBD_BL_DTCT,UEC1,D2,T,1910,2143,NPCX997KAABX_VFBGA144,NPCX997KAABX_VFBGA_144P
-LANWAKE,R1506,1,B,6111,2745,1/20W_4.7K_5%_0201,R0201_11P811
-LANWAKE,TB_TP646,1,T,2077,1076,,
-LANWAKE,U7601,2,T,2167,4314,WGI219LM-QREF-A0_QFN48_6X6,WGI219LM-QREF-A0_QFN48_6X6
-LANWAKE,UCPU1,EP58,B,5734,2932,ALDERLAKE-P-CPU_BGA1744,ALDERLAKE-P-CPU_BGA_1744P-T
-LED_CAPSLOCK,R4509,1,T,2690,3050,1/20W_100_5%_0201,R0201_11P811
-LED_CAPSLOCK,TB_TP553,1,T,2331,3225,,
-LED_CAPSLOCK,UEC1,C2,T,1935,2143,NPCX997KAABX_VFBGA144,NPCX997KAABX_VFBGA_144P
-LED_CAPSLOCK_R,JKBL2,31,T,2584,2923,HIGHS_FC5AF361-1151H,HIGHS_FC5AF361-1151H_36P-T
-LED_CAPSLOCK_R,R4509,2,T,2690,3027,1/20W_100_5%_0201,R0201_11P811
-LED_CAPSLOCK_R,TB_TP1315,1,T,2729,3072,,
-LED_FNLOCK,R4512,1,T,2590,3050,1/20W_100_5%_0201,R0201_11P811
-LED_FNLOCK,TB_TP418,1,T,2137,3202,,
-LED_FNLOCK,UEC1,M4,T,1705,2092,NPCX997KAABX_VFBGA144,NPCX997KAABX_VFBGA_144P
-LED_FNLOCK_R,JKBL2,26,T,2485,2923,HIGHS_FC5AF361-1151H,HIGHS_FC5AF361-1151H_36P-T
-LED_FNLOCK_R,R4512,2,T,2590,3027,1/20W_100_5%_0201,R0201_11P811
-LED_FNLOCK_R,TB_TP1299,1,T,2588,2998,,
-LED_LOGO,R9501,1,B,8308,4843,1/16W_3.01K_1%_0402,R0402_15P748
-LED_LOGO,TB_TP957,1,B,9011,4491,,
-LED_LOGO,UEC1,J7,T,1782,2015,NPCX997KAABX_VFBGA144,NPCX997KAABX_VFBGA_144P
-LED_LOGO_R,C9503,1,B,8272,4875,0.1UC_25VC_KC_X5RC_0402,C0402_21P654_CA
